accountId,bucket,scope,algorithm,revision,updatedBj,subscriptionId,primed,accountFraction,assignedBurn,unattributedShare,resetAt,lastReason,myShare,myCumulativeCu,myAttributedShare,myCarriedShare,reorderTailCount
45,anthropic-claude,primary,window-cu-v1,2752,2026-07-13 14:53:38,cmre9143o26f9s15spzp0pw7s,1,0.9,0.08,0,1783940400000,,0.2,25.9930261,0.0577911791869987,0,0
45,anthropic-claude,weekly,window-cu-v1,2748,2026-07-13 14:53:38,cmre9143o26f9s15spzp0pw7s,1,0.76,0.1758081328125,0,1784278814119,,0.2,153.7650734,0.092357972506876,0.0086925475626644,0
